dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,origin_week,natural,Aotizhongxin,15816,5.9200014220550656e-05,4.530001024249941e-05,0.000500499998452,0.00010450002446305007
beijing,24,origin_week,natural,Aotizhongxin,15984,0.0003572999994503,5.839999357704073e-05,0.0003973999992011,0.00041569999302734075
beijing,24,origin_week,natural,Aotizhongxin,16152,3.019999712705612e-05,6.269999721553177e-05,0.0004718999989562,9.289999434258789e-05
beijing,24,origin_week,natural,Aotizhongxin,16320,1.7099999240599573e-05,3.7699996028095484e-05,0.00029920000815761023,5.4799995268695056e-05
beijing,24,origin_week,natural,Aotizhongxin,16488,1.679999695625156e-05,3.6999990697950125e-05,0.000314900011289843,5.3799987654201686e-05
beijing,24,origin_week,natural,Aotizhongxin,16656,0.0004728999920189,0.005920499999774578,0.0003114000137428031,0.006393399991793478
beijing,24,origin_week,natural,Aotizhongxin,16824,1.8799997633323077e-05,4.400000034365803e-05,0.0003789000038522296,6.27999979769811e-05
beijing,24,origin_week,natural,Aotizhongxin,16992,1.589999010320753e-05,4.709999484475702e-05,0.0003372999926795,6.299998494796455e-05
beijing,24,origin_week,natural,Aotizhongxin,17160,2.6299996534362435e-05,4.970001464243978e-05,0.00030159998277667183,7.600001117680222e-05
beijing,24,origin_week,natural,Aotizhongxin,17328,1.5599987818859518e-05,5.670000973623246e-05,0.0003927000216208,7.229999755509198e-05
beijing,24,origin_week,natural,Aotizhongxin,17496,2.5300003471784294e-05,3.580001066438854e-05,0.0002641999890329316,6.110001413617283e-05
beijing,24,origin_week,natural,Changping,8760,2.780000795610249e-05,4.73999825771898e-05,0.0003987999662057,7.51999905332923e-05
beijing,24,origin_week,natural,Changping,8928,1.990000600926578e-05,4.859999171458185e-05,0.0005473000055643,6.849999772384763e-05
beijing,24,origin_week,natural,Changping,9096,2.2899999748915437e-05,7.069998537190259e-05,0.0005056999943916,9.359998512081802e-05
beijing,24,origin_week,natural,Changping,9264,1.8700011423788965e-05,4.4500004150904715e-05,0.0003718000079969,6.320001557469368e-05
beijing,24,origin_week,natural,Changping,9432,1.820000761654228e-05,5.3099996875971556e-05,0.00037560000782819997,7.130000449251384e-05
beijing,24,origin_week,natural,Changping,9600,1.9099999917671084e-05,7.330000516958535e-05,0.0005120999994686,9.240000508725643e-05
