T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
32768,16,8,iid30,0.297027587890625,0.0035483999963616,0.0043636000045808,0.0085223999922163,0.8446965000039199,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.003613900000345798,0.0077244999993126
32768,16,8,blocks30,0.26934814453125,0.0035913000028813,0.0035209999914513,0.0075078999943798,1.007315800001379,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.003656800006865498,0.0068818999861831
32768,16,8,natural_power,0.003997802734375,0.0030209000105969,0.0030385999998543,0.0069099999964237,0.9264755999902264,COMPLETE,COMPLETE,0.0,1440,765,6.550000398419797e-05,0.0033608999947318,0.003086400014581098,0.0063994999945861004
2048,16,16,iid30,0.30810546875,0.0002310000127181,0.0002022999979089,0.0003175000019837,0.0514287000114563,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.0002654000127221978,0.00045360000513010003
2048,16,16,blocks30,0.26416015625,0.0001910999999381,0.0001753000105964,0.0002848000003723,0.0560234000004129,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.00022549999994219783,0.0004266000178176
2048,16,16,natural_power,0.0,0.0001749999937601,0.0001724000030662,0.0002818999928422,0.0512864000047557,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.0002093999937641978,0.0004237000102874
32768,16,16,iid30,0.3016357421875,0.0030692000000271,0.0029680000006919,0.004700400008005,0.8073749000031967,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.003103600000031198,0.0032193000079131
32768,16,16,blocks30,0.266937255859375,0.0027935999969486,0.0028027999942423,0.0043783000000985,0.852269900002284,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.002827999996952698,0.0030541000014635
32768,16,16,natural_power,0.003997802734375,0.0032413000008091,0.0033035999949788,0.0052671000012196,0.8185687000077451,COMPLETE,COMPLETE,0.0,544,289,3.440000000409782e-05,0.0002513000072212,0.003275700000813198,0.0035549000022
2048,24,1,iid30,0.30224609375,0.0002039000100921,0.0001755999983288,0.0003445000038482,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.00023980000696602265,0.0058310000022174
2048,24,1,blocks30,0.2607421875,0.000194599997485,0.0001877000031527,0.0003389000048628,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.00023049999435892265,0.0058431000070413
2048,24,1,natural_power,0.0,0.0001697999978205,0.0001693000085651,0.0002967000036733,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.00020569999469442264,0.0058247000124537
32768,24,1,iid30,0.29620361328125,0.003150500007905,0.0031654000049456,0.0056352000101469,,NOT_RUN_K_GT_16,COMPLETE,0.0,800,425,3.5899996873922646e-05,0.0056554000038886,0.0031864000047789227,0.008820800008834201
