dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
household,household,fixed_panel,natural,180,5,233280,constant,hist_gradient_boosting,9901,1,0,0.0850378254467867,0.0850378254467867,0.08503782544678673,0.08503782544678673,871,0.0067377999948803335,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,233280,logistic,hist_gradient_boosting,9901,1,0,0.018590425257487955,0.018590425257487955,0.01859042525748784,0.01859042525748784,871,0.007470700002158992,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,243360,constant,logistic,9901,39,204,0.032052021207051584,0.04168444967666408,0.03212772054536603,0.04160875033834972,871,0.008189200001652353,,,0.009632428469612493,0.009481029792983695,0.00015139867662879863,0.01571760196366029,B,B,False
household,household,fixed_panel,natural,180,5,243360,constant,hist_gradient_boosting,9901,39,204,-0.002720176465737212,0.005861759746725088,-0.002720176465736902,0.005861759746725295,871,0.008436900010565296,,,0.0085819362124623,0.008581936212462197,1.0234868508263162e-16,1.1926059871431518e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,180,5,243360,logistic,hist_gradient_boosting,9901,39,204,-0.04432892680408688,-0.026265960798640877,-0.04432892680408683,-0.026265960798640808,871,0.008516600006259978,,,0.018062966005446,0.018062966005446022,-2.0816681711721685e-17,-1.1524509156162635e-15,A,A,False
household,household,fixed_panel,natural,180,5,253440,constant,logistic,5581,0,0,0.10349114879944989,0.10349114879944989,0.10349114879944989,0.10349114879944989,871,0.005085200013127178,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,180,5,253440,constant,hist_gradient_boosting,5581,0,0,-0.017426843938304,-0.017426843938304,-0.017426843938304026,-0.017426843938304026,871,0.004753500004881062,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,180,5,253440,logistic,hist_gradient_boosting,5581,0,0,-0.12091799273775387,-0.12091799273775387,-0.1209179927377539,-0.1209179927377539,871,0.004855099992710166,,,0.0,0.0,0.0,0.0,A,A,False
household,household,artificial,iid_10,180,5,194220,constant,logistic,3917,428,5,-0.054650577387078,-0.05354738644777998,-0.054650577387073504,-0.0535473864477756,871,0.0036115000111749396,-0.05354738644778005,True,0.0011031909392980183,0.0011031909392979072,1.1102230246251565e-16,1.0063743138895003e-13,A,A,False
household,household,artificial,iid_10,180,5,194220,constant,hist_gradient_boosting,3917,428,5,-0.06167349406651588,-0.061163657010761215,-0.061664075517387444,-0.061173075559889635,871,0.0033983000030275434,-0.06153632438596408,True,0.0005098370557546639,0.0004909999574978091,1.8837098256854756e-05,0.036947291383071346,A,A,False
household,household,artificial,iid_10,180,5,194220,logistic,hist_gradient_boosting,3917,428,5,-0.00798893793818393,-0.0066502493042349545,-0.007988937938183697,-0.006650249304234722,871,0.0035109000018564984,-0.007988937938183945,True,0.0013386886339489751,0.0013386886339489751,0.0,0.0,A,A,False
household,household,artificial,iid_30,180,5,194220,constant,logistic,3917,1255,1256,-0.20997986164023155,0.06714170231141744,-0.209979861640219,0.0671417023114163,871,0.002635500000906177,-0.05354738644778005,True,0.277121563951649,0.2771215639516353,1.3711254354120683e-14,4.9477399588120704e-14,UNRESOLVED,UNRESOLVED,False
household,household,artificial,iid_30,180,5,194220,constant,hist_gradient_boosting,3917,1255,1256,-0.1721396965084916,0.017173080622453624,-0.16644632070605386,0.009815900754776327,871,0.002459299998008646,-0.0626716896815737,True,0.18931277713094521,0.1762622214608302,0.01305055567011501,0.06893647575138634,UNRESOLVED,UNRESOLVED,False
household,household,artificial,iid_30,180,5,194220,logistic,hist_gradient_boosting,3917,1255,1256,-0.12977174529356386,0.11764328873634025,-0.1297717452935638,0.11764328873633897,871,0.002438099996652454,-0.00912430323379355,True,0.2474150340299041,0.24741503402990278,1.3322676295501878e-15,5.384748080382059e-15,UNRESOLVED,UNRESOLVED,False
household,household,artificial,blocks_10,180,5,194220,constant,logistic,3917,405,910,-0.25432813740000126,-0.05354738644777998,-0.2543281373999868,-0.0535473864477756,871,0.002786299999570474,-0.05354738644778005,True,0.20078075095222128,0.20078075095221118,1.0103029524088925e-14,5.031871569447954e-14,A,A,False
household,household,artificial,blocks_10,180,5,194220,constant,hist_gradient_boosting,3917,405,910,-0.1615282205982732,-0.028011894779575743,-0.1586679923559739,-0.03255368027762548,871,0.0026940999960061163,-0.055763049736492876,True,0.13351632581869746,0.12611431207834842,0.007402013740349045,0.05543901612751297,A,A,False
household,household,artificial,blocks_10,180,5,194220,logistic,hist_gradient_boosting,3917,405,910,-0.0022156632887127014,0.1205510717586454,-0.0022156632887126433,0.12055107175864546,871,0.002742999990005046,-0.0022156632887127157,True,0.1227667350473581,0.1227667350473581,0.0,0.0,UNRESOLVED,UNRESOLVED,False
