epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09309823143684028,0.06061644175845748
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.0930974389166558,0.06061025077576026
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07898899322366647,0.04925602206041895
20,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07897820856221488,0.0492269122403945
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07189196919662537,0.041885271198462956
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.0718754093729466,0.04184683624267688
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06539270339007133,0.03703058105866512
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06535568158485516,0.03697381978151532
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07701051244271129,0.04804494649838176
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07698578631184938,0.047995227550602475
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07015988589895804,0.04152379616009959
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07013184671577537,0.04147314127792933
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.0850409816256993,0.05717790239451961
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08503370492577488,0.0571653690851781
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07464731549359406,0.045471006050101875
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.0746206930779322,0.04542329975938376
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09279524168836141,0.06040869678244171
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09279490793441722,0.06040468571190291
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07884395995357182,0.04903454797142912
40,NEW_CORE_SELECT,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0788250242711337,0.04899842775272816
0,NEW_CORE_SELECT,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07155749091832687,0.04150404715197922
0,NEW_CORE_SELECT,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344217,0.04148815061496082
0,NEW_CORE_SELECT,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708264,0.03669940274660176
0,NEW_CORE_SELECT,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.0653026967012024,0.0366599289799402
0,NEW_CORE_SELECT,OD_PRODUCT,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889435,0.04762812144991265
